step_count,Max Step Count (Test),eval reward,lr,reward,Return (Test)
24,35.0,1.0,0.0003,1.0,36.0
34,75.0,1.0,0.00029999925978027874,1.0,76.0
27,169.0,1.0,0.00029999703912842054,1.0,170.0
33,177.0,1.0,0.00029999333806634247,1.0,178.0
39,193.0,0.9999999403953552,0.00029998815663057245,1.0,194.0
49,164.0,0.9999999403953552,0.00029998149487224914,1.0,165.0
43,118.0,1.0,0.00029997335285712143,1.0,119.0
61,151.0,1.0,0.0002999637306655477,1.0,152.0
63,240.0,1.0,0.000299952628392495,1.0,241.0
66,202.0,1.0,0.0002999400461475385,1.0,203.0
65,192.0,1.0,0.0002999259840548598,1.0,193.0
69,174.0,1.0,0.000299910442253246,1.0,175.0
75,170.0,1.0,0.00029989342089608846,1.0,171.0
139,128.0,1.0,0.0002998749201513811,1.0,129.0
104,178.0,1.0,0.00029985494020171884,1.0,179.0
167,154.0,1.0,0.00029983348124429566,1.0,155.0
132,97.0,1.0,0.0002998105434909028,1.0,98.0
131,129.0,1.0,0.0002997861271679266,1.0,130.0
104,206.0,1.0,0.0002997602325163464,1.0,207.0
164,68.0,1.0,0.0002997328597917319,1.0,69.0
157,48.0,1.0,0.0002997040092642408,1.0,49.0
139,74.0,1.0,0.0002996736812186163,1.0,75.0
93,143.0,1.0,0.0002996418759541838,1.0,144.0
98,132.0,1.0,0.0002996085937848486,1.0,133.0
110,258.0,1.0,0.0002995738350390921,1.0,259.0
197,220.0,1.0,0.0002995376000599692,1.0,221.0
158,189.0,1.0,0.00029949988920510446,1.0,190.0
226,340.0,1.0,0.0002994607028466888,1.0,341.0
188,248.0,0.9999999403953552,0.00029942004137147586,1.0,249.0
188,82.0,0.9999999403953552,0.0002993779051807778,1.0,83.0
156,255.0,1.0,0.0002993342946904619,1.0,256.0
156,455.0,1.0,0.0002992892103309462,1.0,456.0
254,309.0,1.0,0.00029924265254719496,1.0,310.0
190,124.0,1.0,0.00029919462179871475,1.0,125.0
196,76.0,1.0,0.0002991451185595498,1.0,77.0
183,152.0,1.0,0.0002990941433182769,1.0,153.0
227,236.0,0.9999999403953552,0.0002990416965780012,1.0,237.0
222,198.0,1.0,0.00029898777885635085,1.0,199.0
275,157.0,1.0,0.000298932390685472,1.0,158.0
157,178.0,1.0,0.00029887553261202354,1.0,179.0
202,167.0,1.0,0.00029881720519717164,1.0,168.0
215,136.0,1.0,0.0002987574090165844,1.0,137.0
174,163.0,0.9999999403953552,0.00029869614466042593,1.0,164.0
207,241.0,0.9999999403953552,0.0002986334127333508,1.0,242.0
232,76.0,1.0,0.00029856921385449763,1.0,77.0
196,140.0,0.9999999403953552,0.0002985035486574836,1.0,141.0
226,171.0,1.0,0.00029843641779039756,1.0,172.0
211,119.0,1.0,0.0002983678219157942,1.0,120.0
190,158.0,0.9999999403953552,0.0002982977617106871,1.0,159.0
196,156.0,1.0,0.00029822623786654207,1.0,157.0
224,111.0,1.0,0.00029815325108927063,1.0,112.0
207,76.0,1.0,0.00029807880209922283,1.0,77.0
236,41.0,1.0,0.00029800289163118014,1.0,42.0
249,16.0,1.0,0.0002979255204343483,1.0,17.0
327,2.0,1.0,0.00029784668927234964,1.0,3.0
243,2.0,1.0,0.000297766398923216,1.0,3.0
301,2.0,1.0,0.00029768465017938076,1.0,3.0
212,2.0,1.0,0.0002976014438476709,1.0,3.0
334,2.0,1.0,0.0002975167807492994,1.0,3.0
274,2.0,1.0,0.0002974306617198568,1.0,3.0
207,2.0,1.0,0.00029734308760930326,1.0,3.0
309,2.0,1.0,0.00029725405928195976,1.0,3.0
266,2.0,1.0,0.0002971635776165,1.0,3.0
259,2.0,1.0,0.00029707164350594156,1.0,3.0
340,2.0,1.0,0.0002969782578576369,1.0,3.0
328,2.0,1.0,0.00029688342159326476,1.0,3.0
202,2.0,1.0,0.0002967871356488207,1.0,3.0
203,2.0,1.0,0.00029668940097460816,1.0,3.0
195,2.0,1.0,0.00029659021853522887,1.0,3.0
165,2.0,1.0,0.00029648958930957357,1.0,3.0
246,2.0,1.0,0.000296387514290812,1.0,3.0
206,2.0,1.0,0.0002962839944863834,1.0,3.0
164,2.0,1.0,0.00029617903091798647,1.0,3.0
